batch,sim_id,rank_in_r0,rho_r0,rank_in_migidx,rho_migidx,rank_in_pop,rho_pop
batch_0,196,2,0.7482517482517484,3,0.43356643356643365,3,0.39860139860139865
batch_0,197,3,0.6713286713286714,1,0.5244755244755246,4,0.6573426573426573
batch_0,198,7,0.2027972027972028,1,0.7552447552447553,2,0.6223776223776225
batch_0,199,12,-0.013986013986013986,1,0.8041958041958043,3,0.7552447552447553
batch_0,19,1,0.2937062937062937,2,0.3356643356643357,6,0.6503496503496504
batch_0,1,5,0.1258741258741259,4,0.3706293706293707,1,0.6643356643356644
batch_0,200,1,-0.1258741258741259,1,0.7132867132867133,1,0.7972027972027973
batch_0,201,3,0.5314685314685316,4,0.31468531468531474,1,0.49650349650349657
batch_0,202,11,-0.23076923076923078,1,0.7762237762237763,2,0.5384615384615385
batch_0,203,9,-0.41958041958041964,3,0.7342657342657343,1,0.7342657342657343
batch_0,204,8,0.2657342657342658,1,0.6573426573426573,5,0.6503496503496504
batch_0,205,11,-0.5314685314685316,1,0.8881118881118882,8,0.7202797202797203
batch_0,206,1,0.9020979020979022,4,0.18881118881118883,2,0.8671328671328673
batch_0,207,1,0.8111888111888113,1,0.5874125874125874,4,0.3636363636363637
batch_0,208,1,0.2447552447552448,2,0.7622377622377624,4,0.34965034965034975
batch_0,209,6,0.3356643356643357,1,0.6853146853146854,2,0.8461538461538463
batch_0,20,4,0.6083916083916086,4,0.7062937062937064,1,0.22377622377622378
batch_0,210,9,0.4895104895104896,1,0.37762237762237766,4,0.41958041958041964
batch_0,211,11,-0.17482517482517487,1,0.5454545454545455,4,0.7832167832167832
batch_0,212,10,-0.6643356643356644,2,0.6783216783216784,2,0.5524475524475525
batch_0,213,9,-0.18181818181818185,4,0.7132867132867133,1,0.3636363636363637
batch_0,214,11,-0.5734265734265735,1,0.8181818181818183,5,0.6363636363636365
batch_0,215,7,0.5384615384615385,1,0.6083916083916086,6,0.3916083916083916
batch_0,216,1,0.965034965034965,7,0.3846153846153847,1,0.16783216783216784
batch_0,217,9,-0.2797202797202798,3,0.7272727272727274,4,0.4265734265734266
batch_0,218,12,0.17482517482517487,2,0.9370629370629372,1,0.6713286713286714
batch_0,219,2,0.5034965034965035,1,0.7622377622377624,3,0.7902097902097903
batch_0,21,2,0.4755244755244756,1,0.8811188811188813,1,0.7482517482517484
batch_0,220,3,0.07692307692307693,1,0.8461538461538463,7,0.4685314685314686
batch_0,221,11,0.034965034965034975,4,0.5384615384615385,4,0.5104895104895105
batch_0,222,12,0.006993006993006993,2,0.2797202797202798,1,0.7902097902097903
batch_0,223,11,-0.5174825174825175,1,0.8391608391608393,4,0.5314685314685316
batch_0,224,6,-0.02097902097902098,2,0.8041958041958043,7,0.5454545454545455
batch_0,225,2,0.31468531468531474,1,0.8181818181818183,9,0.31468531468531474
batch_0,226,3,0.9510489510489512,1,0.6643356643356644,4,-0.17482517482517487
batch_0,227,2,0.7832167832167832,3,0.49650349650349657,7,0.4265734265734266
batch_0,228,12,-0.4265734265734266,2,0.6853146853146854,4,0.4825174825174825
batch_0,229,2,0.5594405594405596,2,0.4685314685314686,1,0.9300699300699302
batch_0,22,10,-0.43356643356643365,2,0.7832167832167832,3,0.7272727272727274
