leaf_dist,anc_dist,leaf_brlen,anc_brlen
2.463253266369946459e+01,1.583218863740562483e+02,2.463253266369946459e+01,2.074882628216931835e+01
1.247652357745149629e+02,1.021881826219542404e+02,1.072872470878024842e+02,3.879513667589321813e+01
9.184612888952642606e+00,1.196661713086667191e+02,9.184612888952642606e+00,1.747798868671247874e+01
1.695520859989305507e+02,5.163238831015934238e+01,7.890132281851137463e+01,3.822608178262612455e+00
7.433981363081798577e+01,1.422831514905785184e+02,6.853032447217091772e+01,5.621573252221480743e+01
4.062229615166970120e+01,1.480926406492255865e+02,4.062229615166970120e+01,5.809489158647068052e+00
9.574529492433148903e+01,8.606741896836371097e+01,9.574529492433148903e+01,2.769360104023064650e+01
1.059779228866235599e+02,5.837381792813306447e+01,1.059779228866235599e+02,6.741429617973722088e+00
2.833302823011055125e+02,3.476942353192652035e+01,1.220643921883631435e+02,5.353696548893083218e+00
5.436652860608265314e+01,1.960353136446688893e+02,5.436652860608265314e+01,1.291623690975889360e+02
1.171791486269053451e+02,6.687294454707995328e+01,1.171791486269053451e+02,1.490387191533557143e+01
2.378478111988200112e+02,5.196907263174438185e+01,1.696603916861682251e+02,6.934156692492251750e+00
1.244358382559420306e+02,1.201564921443961680e+02,4.827390575695480379e+01,3.199232544463848171e+01
8.315211348357649968e+00,1.963184246433833948e+02,8.315211348357649968e+00,3.906659957177762976e+01
1.150534687944684720e+00,1.572518250716057651e+02,1.150534687944684720e+00,3.709533292720959707e+01
1.516022498453580738e+02,8.816416669975768627e+01,1.217085291917350105e+02,1.860447518530384059e+01
7.401484716008533837e+01,1.180578873533807496e+02,7.401484716008533837e+01,1.534631517384377730e+01
1.194776238769985355e+02,1.027115721795369723e+02,7.402386787817144409e+01,1.454740547977928600e+01
5.572108235480126837e+01,1.481653281783640637e+02,5.572108235480126837e+01,4.545375599882709139e+01
2.199367049943814436e+02,6.955969151445384568e+01,1.698337274059870197e+02,7.043520327585895302e+00
1.158274057170629874e+02,1.196626691028482696e+02,1.021383028607425274e+02,5.010297758839442395e+01
9.964599051863882551e+01,1.333517719591687296e+02,8.191531061135094660e+01,1.368910285632045998e+01
7.948856022288367740e+01,1.510824518664566085e+02,7.948856022288367740e+01,1.773067990728787890e+01
1.351294350388661485e+02,6.251617118686795038e+01,1.351294350388661485e+02,1.054709855512356853e+01
2.390977607760723913e+02,4.503491593925213010e+01,1.860082012660919304e+02,7.600327377141752550e+00
1.573964587685110814e+02,9.812447544923259102e+01,1.430357920330451407e+02,2.093687961349013449e+01
9.377309834143784428e+01,1.124851421846985318e+02,9.377309834143784428e+01,8.129327634798073632e-01
1.392083974779358186e+02,1.116722094212187244e+02,1.140547145594330800e+02,1.354773397198613338e+01
5.317589684175590037e+01,1.368258923397214630e+02,5.317589684175590037e+01,1.609277734526455106e+01
1.019393287671150006e+02,1.207331149944569120e+02,7.720850776274772898e+01,9.060905573238187571e+00
5.823720033444809019e+01,1.454639359988241836e+02,5.823720033444809019e+01,2.311648575151269824e+01
6.595953941770673623e+01,1.223474502473114853e+02,6.595953941770673623e+01,1.614335252854573355e+00
1.669591173155772026e+02,7.718759583574245653e+01,1.669591173155772026e+02,2.610900454574607465e+01
2.324422360268739567e+02,5.107859128999638187e+01,1.116719174780834578e+02,6.043675350744251773e+00
3.990362590164670564e+01,1.718489098387868808e+02,3.990362590164670564e+01,4.528674386685628406e+01
7.055080350562536751e+01,1.265621659719305967e+02,6.594299137730968141e+01,1.122883352645544619e+00
6.342417844015542983e+01,1.311699781002462828e+02,6.342417844015542983e+01,2.026917039592035508e-01
5.326019039950494971e+01,1.309672863962870792e+02,3.511447511401968313e+01,4.405120424356482545e+00
1.343360767185697568e+01,1.491130016817723458e+02,1.343360767185697568e+01,7.332280447054699835e-01
3.087646483981646384e+01,1.483797736370668758e+02,3.087646483981646384e+01,1.741248724077979659e+01
6.243547894420441935e+01,1.254392826192850521e+02,6.243547894420441935e+01,1.617574425663508464e+01
1.383133807722582560e+02,1.092635383626499674e+02,1.383133807722582560e+02,5.818494707265358556e+01
1.918073662285836747e+02,3.743458856211037755e+01,1.060147485344230915e+02,2.665165030183857198e+00
5.810289640060631200e+01,1.232272062562709607e+02,2.536894012305936030e+01,6.842971547726557446e+01
1.199701779233953403e+01,1.559611625338179124e+02,1.199701779233953403e+01,3.273395627754695170e+01
7.935144093415317457e+01,5.479749077900538623e+01,7.935144093415317457e+01,1.736290221689500868e+01
2.441346840627105621e+02,2.941572698303343714e+01,1.880406476571629923e+02,2.879515907114580386e+00
1.633598367475893269e+02,8.550976338858100689e+01,1.629199749204463501e+02,1.091117564107003091e+01
1.221926968891162630e+02,8.594962521572398373e+01,5.160099115595514263e+01,4.398618271429768356e-01
8.391533200266962922e+00,1.565413309488851041e+02,8.391533200266962922e+00,7.059170573316112041e+01
1.930202122514842813e+02,7.459858774751097599e+01,1.074180647689894386e+01,4.518286076447753885e+01
3.055442298172010851e+00,2.568769935220963134e+02,3.055442298172010851e+00,1.422369089705298393e+02
8.614217772439113219e+01,1.146400845515664741e+02,8.614217772439113219e+01,1.350355112151817139e+01
7.367013559614525775e+01,1.011365334300483028e+02,7.367013559614525775e+01,2.653794568253732677e+01
3.246464160943233423e+02,2.653621107591885675e+01,2.818343328993439059e+02,2.653621107591885675e+01
1.167559942259323691e+02,6.934829427089829323e+01,1.167559942259323691e+02,2.241236398386774908e+00
1.216330572987952507e+02,6.710705787251151833e+01,1.216330572987952507e+02,1.337892950372003043e+01
1.796346490360344603e+02,5.372812836879148790e+01,7.346699615205650957e+01,7.572430563378077295e+00
2.277748229071673336e+01,1.598957812527694387e+02,1.336082441826849276e+01,2.386620285048081769e+00
1.160512497287587053e+01,1.693124391252176792e+02,1.160512497287587053e+01,9.416657872448240596e+00
3.203472436164574333e+01,1.575091609677213569e+02,3.203472436164574333e+01,2.374141884125242541e+01
3.099341398126233571e+01,1.337677421264689315e+02,3.099341398126233571e+01,8.425107702290347333e+00
8.779868551665677501e+01,1.253426344241785841e+02,5.651777495780041249e+01,1.923713354875809500e+01
7.369498226232167326e+00,1.566235449830349467e+02,7.369498226232167326e+00,1.258213946789959437e+01
3.920762553645519688e+01,1.440414055151353523e+02,3.920762553645519688e+01,1.869877109095676815e+01
9.188675724371032061e+01,1.061055008754204891e+02,4.996902895501600028e+01,9.052831902741104386e+00
4.173733386385342214e+01,1.480232291641148095e+02,4.173733386385342214e+01,7.238279268960184254e+00
1.452052123676696738e+01,1.407849498951546252e+02,1.452052123676696738e+01,2.550222812025083385e+00
3.643753102309511860e+01,1.382347270831295418e+02,2.954306477944248854e+01,2.082378646388229981e+01
6.065973488440079109e+00,1.451291933267821719e+02,6.065973488440079109e+00,5.100566016529683111e+00
2.306304417925070993e+01,1.400286273102524888e+02,2.306304417925070993e+01,1.793900227122946944e+00
1.510403534254209035e+01,1.174109406192472420e+02,1.385268762721727853e+01,1.130543974382675287e+01
3.446830827629753458e+00,1.186622883345720538e+02,3.446830827629753458e+00,1.251347715324811816e+00
1.295552132762027497e+02,9.705266897267938475e+01,1.066579532322404305e+02,4.332454060388789685e+01
6.815256337885466564e+01,1.199499290166417040e+02,6.103405548408960613e+01,1.574653003134073970e+01
3.699418522155821165e+01,1.270684369114067636e+02,3.699418522155821165e+01,7.118507894765059518e+00
8.278156792781061313e+01,1.042033989853009643e+02,5.616268642911137476e+01,7.150730012621579590e+00
4.729971266559073229e+01,1.308222804840002027e+02,4.729971266559073229e+01,2.661888149869923836e+01
2.578369734878046415e+02,4.615569780541341061e+01,2.223903016399654007e+02,5.911189945861963224e+00
1.621019154322630698e+02,8.160236965325265146e+01,1.621019154322630698e+02,3.544667184783924085e+01
2.862555334514096330e+02,4.024450785955144738e+01,2.127695735634948733e+02,5.874026775868742334e+00
1.334321713058981800e+02,1.137304677474662071e+02,1.334321713058981800e+02,4.518894982034760233e+01
1.470015157328840303e+02,6.854151792711860480e+01,1.470015157328840303e+02,2.058295542439338988e+01
2.525487239732844387e+02,4.795856250272521493e+01,2.285572141873543046e+02,7.694788553210798909e+00
1.468633470911199481e+02,7.195007228865534898e+01,7.346032149759977870e+01,9.676525514402101180e-01
7.216927746700088164e+01,1.453530978821755184e+02,7.216927746700088164e+01,7.340302559352016942e+01
1.717413944175281131e+02,7.098241973721513887e+01,1.717413944175281131e+02,3.142108651164903677e+00
1.494329788208030720e+02,6.784031108605023519e+01,1.494329788208030720e+02,7.220411259686727590e+00
2.073359257693875861e+02,6.061989982636350760e+01,1.714639439373216305e+02,1.266133732363829267e+01
1.319615493533334813e+02,9.649188165842946319e+01,1.319615493533334813e+02,3.587198183206595559e+01
2.558429636895813815e+02,4.026377394951441602e+01,1.709846007116773308e+02,1.926608996296863552e-02
7.910351407998393825e+01,1.251221369274184667e+02,6.842517296127334703e+01,8.050268832966821719e+00
5.820073224031327186e+01,1.358004780461290579e+02,5.820073224031327186e+01,1.067834111871059122e+01
6.013196649432245522e+01,1.170718680944516450e+02,6.013196649432245522e+01,5.838891552508812310e+00
8.728731806327596132e+01,1.112329765419428327e+02,8.728731806327596132e+01,1.187047261392876862e+00
