leaf_dist,anc_dist,leaf_brlen,anc_brlen
1.425087634972027217e+01,1.322893341317469549e+02,1.425087634972027217e+01,5.036588336095633167e-01
2.463253266369946459e+01,1.317856752981373916e+02,2.463253266369946459e+01,2.074882628216931835e+01
1.247652357745149629e+02,7.565197154603538365e+01,1.072872470878024842e+02,3.879513667589321813e+01
9.184612888952642606e+00,9.312996023274786239e+01,9.184612888952642606e+00,1.747798868671247874e+01
1.695520859989305507e+02,2.509617723424048563e+01,7.890132281851137463e+01,3.822608178262612455e+00
7.433981363081798577e+01,1.157469404146596617e+02,6.853032447217091772e+01,5.621573252221480743e+01
4.062229615166970120e+01,1.215564295733067297e+02,4.062229615166970120e+01,5.809489158647068052e+00
9.574529492433148903e+01,5.953120789244485422e+01,9.574529492433148903e+01,2.769360104023064650e+01
1.059779228866235599e+02,3.183760685221420772e+01,1.059779228866235599e+02,6.741429617973722088e+00
2.833302823011055125e+02,8.233212456007663604e+00,1.220643921883631435e+02,5.353696548893083218e+00
5.436652860608265314e+01,1.694991025687500326e+02,5.436652860608265314e+01,1.291623690975889360e+02
1.171791486269053451e+02,4.033673347116109653e+01,1.171791486269053451e+02,1.490387191533557143e+01
2.378478111988200112e+02,2.543286155582552510e+01,1.696603916861682251e+02,6.934156692492251750e+00
1.244358382559420306e+02,9.362028106847731124e+01,4.827390575695480379e+01,3.199232544463848171e+01
8.315211348357649968e+00,1.697822135674645381e+02,8.315211348357649968e+00,3.906659957177762976e+01
1.150534687944684720e+00,1.307156139956869083e+02,1.150534687944684720e+00,3.709533292720959707e+01
1.516022498453580738e+02,6.162795562383882952e+01,1.217085291917350105e+02,1.860447518530384059e+01
7.401484716008533837e+01,9.152167627746189282e+01,7.401484716008533837e+01,1.534631517384377730e+01
1.194776238769985355e+02,7.617536110361811552e+01,7.402386787817144409e+01,1.454740547977928600e+01
5.572108235480126837e+01,1.216291171024452069e+02,5.572108235480126837e+01,4.545375599882709139e+01
2.199367049943814436e+02,4.302348043853498893e+01,1.698337274059870197e+02,7.043520327585895302e+00
1.158274057170629874e+02,9.312645802692941288e+01,1.021383028607425274e+02,5.010297758839442395e+01
9.964599051863882551e+01,1.068155608832498729e+02,8.191531061135094660e+01,1.368910285632045998e+01
7.948856022288367740e+01,1.245462407905377518e+02,7.948856022288367740e+01,1.773067990728787890e+01
1.351294350388661485e+02,3.597996011094909363e+01,1.351294350388661485e+02,1.054709855512356853e+01
2.390977607760723913e+02,1.849870486333327335e+01,1.860082012660919304e+02,7.600327377141752550e+00
1.573964587685110814e+02,7.158826437331373427e+01,1.430357920330451407e+02,2.093687961349013449e+01
9.377309834143784428e+01,8.594893110877967501e+01,9.377309834143784428e+01,8.129327634798073632e-01
1.392083974779358186e+02,8.513599834529986765e+01,1.140547145594330800e+02,1.354773397198613338e+01
5.317589684175590037e+01,1.102896812638026063e+02,5.317589684175590037e+01,1.609277734526455106e+01
1.019393287671150006e+02,9.419690391853805522e+01,7.720850776274772898e+01,9.060905573238187571e+00
5.823720033444809019e+01,1.189277249229053268e+02,5.823720033444809019e+01,2.311648575151269824e+01
6.595953941770673623e+01,9.581123917139262858e+01,6.595953941770673623e+01,1.614335252854573355e+00
1.669591173155772026e+02,5.065138475982359978e+01,1.669591173155772026e+02,2.610900454574607465e+01
2.324422360268739567e+02,2.454238021407752512e+01,1.116719174780834578e+02,6.043675350744251773e+00
3.990362590164670564e+01,1.453126987628680240e+02,3.990362590164670564e+01,4.528674386685628406e+01
7.055080350562536751e+01,1.000259548960117399e+02,6.594299137730968141e+01,1.122883352645544619e+00
6.342417844015542983e+01,1.046337670243274260e+02,6.342417844015542983e+01,2.026917039592035508e-01
5.326019039950494971e+01,1.044310753203682225e+02,3.511447511401968313e+01,4.405120424356482545e+00
1.343360767185697568e+01,1.225767906058534891e+02,1.343360767185697568e+01,7.332280447054699835e-01
3.087646483981646384e+01,1.218435625611480191e+02,3.087646483981646384e+01,1.741248724077979659e+01
6.243547894420441935e+01,9.890307154336619533e+01,6.243547894420441935e+01,1.617574425663508464e+01
1.383133807722582560e+02,8.272732728673111069e+01,1.383133807722582560e+02,5.818494707265358556e+01
1.918073662285836747e+02,1.089837748619152080e+01,1.060147485344230915e+02,2.665165030183857198e+00
5.810289640060631200e+01,9.669099518035210394e+01,2.536894012305936030e+01,6.842971547726557446e+01
1.199701779233953403e+01,1.294249514578990556e+02,1.199701779233953403e+01,3.273395627754695170e+01
7.935144093415317457e+01,2.826127970308652948e+01,7.935144093415317457e+01,1.736290221689500868e+01
2.441346840627105621e+02,2.879515907114580386e+00,1.880406476571629923e+02,2.879515907114580386e+00
1.633598367475893269e+02,5.897355231266215014e+01,1.629199749204463501e+02,1.091117564107003091e+01
1.221926968891162630e+02,5.941341413980512698e+01,5.160099115595514263e+01,4.398618271429768356e-01
8.391533200266962922e+00,1.300051198729662474e+02,8.391533200266962922e+00,7.059170573316112041e+01
1.930202122514842813e+02,4.806237667159211924e+01,1.074180647689894386e+01,4.518286076447753885e+01
3.055442298172010851e+00,2.303407824461774567e+02,3.055442298172010851e+00,1.422369089705298393e+02
8.614217772439113219e+01,8.810387347564761740e+01,8.614217772439113219e+01,1.350355112151817139e+01
7.367013559614525775e+01,7.460032235412944601e+01,7.367013559614525775e+01,2.653794568253732677e+01
3.246464160943233423e+02,0.000000000000000000e+00,2.818343328993439059e+02,0.000000000000000000e+00
1.167559942259323691e+02,4.281208319497943648e+01,1.167559942259323691e+02,2.241236398386774908e+00
1.216330572987952507e+02,4.057084679659266158e+01,1.216330572987952507e+02,1.337892950372003043e+01
1.796346490360344603e+02,2.719191729287263115e+01,7.346699615205650957e+01,7.572430563378077295e+00
2.277748229071673336e+01,1.333595701768505819e+02,1.336082441826849276e+01,2.386620285048081769e+00
1.160512497287587053e+01,1.427762280492988225e+02,1.160512497287587053e+01,9.416657872448240596e+00
3.203472436164574333e+01,1.309729498918025001e+02,3.203472436164574333e+01,2.374141884125242541e+01
3.099341398126233571e+01,1.072315310505500747e+02,3.099341398126233571e+01,8.425107702290347333e+00
8.779868551665677501e+01,9.880642334825972739e+01,5.651777495780041249e+01,1.923713354875809500e+01
7.369498226232167326e+00,1.300873339071160899e+02,7.369498226232167326e+00,1.258213946789959437e+01
3.920762553645519688e+01,1.175051944392164955e+02,3.920762553645519688e+01,1.869877109095676815e+01
9.188675724371032061e+01,7.956928979950163239e+01,4.996902895501600028e+01,9.052831902741104386e+00
4.173733386385342214e+01,1.214870180881959527e+02,4.173733386385342214e+01,7.238279268960184254e+00
1.452052123676696738e+01,1.142487388192357685e+02,1.452052123676696738e+01,2.550222812025083385e+00
3.643753102309511860e+01,1.116985160072106851e+02,2.954306477944248854e+01,2.082378646388229981e+01
6.065973488440079109e+00,1.185929822508633151e+02,6.065973488440079109e+00,5.100566016529683111e+00
2.306304417925070993e+01,1.134924162343336320e+02,2.306304417925070993e+01,1.793900227122946944e+00
1.510403534254209035e+01,9.087472954332838526e+01,1.385268762721727853e+01,1.130543974382675287e+01
3.446830827629753458e+00,9.212607725865319708e+01,3.446830827629753458e+00,1.251347715324811816e+00
1.295552132762027497e+02,7.051645789676052800e+01,1.066579532322404305e+02,4.332454060388789685e+01
6.815256337885466564e+01,9.341371794072284729e+01,6.103405548408960613e+01,1.574653003134073970e+01
3.699418522155821165e+01,1.005322258354879068e+02,3.699418522155821165e+01,7.118507894765059518e+00
8.278156792781061313e+01,7.766718790938210759e+01,5.616268642911137476e+01,7.150730012621579590e+00
4.729971266559073229e+01,1.042860694080813460e+02,4.729971266559073229e+01,2.661888149869923836e+01
2.578369734878046415e+02,1.961948672949455386e+01,2.223903016399654007e+02,5.911189945861963224e+00
1.621019154322630698e+02,5.506615857733379471e+01,1.621019154322630698e+02,3.544667184783924085e+01
2.862555334514096330e+02,1.370829678363259063e+01,2.127695735634948733e+02,5.874026775868742334e+00
1.334321713058981800e+02,8.719425667154735038e+01,1.334321713058981800e+02,4.518894982034760233e+01
1.470015157328840303e+02,4.200530685119974805e+01,1.470015157328840303e+02,2.058295542439338988e+01
2.525487239732844387e+02,2.142235142680635818e+01,2.285572141873543046e+02,7.694788553210798909e+00
1.468633470911199481e+02,4.541386121273649223e+01,7.346032149759977870e+01,9.676525514402101180e-01
7.216927746700088164e+01,1.188168868062566617e+02,7.216927746700088164e+01,7.340302559352016942e+01
1.717413944175281131e+02,4.444620866129628212e+01,1.717413944175281131e+02,3.142108651164903677e+00
1.494329788208030720e+02,4.130410001013137844e+01,1.494329788208030720e+02,7.220411259686727590e+00
2.073359257693875861e+02,3.408368875044465085e+01,1.714639439373216305e+02,1.266133732363829267e+01
1.319615493533334813e+02,6.995567058251060644e+01,1.319615493533334813e+02,3.587198183206595559e+01
2.558429636895813815e+02,1.372756287359555927e+01,1.709846007116773308e+02,1.926608996296863552e-02
7.910351407998393825e+01,9.858592585149960996e+01,6.842517296127334703e+01,8.050268832966821719e+00
5.820073224031327186e+01,1.092642669702102012e+02,5.820073224031327186e+01,1.067834111871059122e+01
6.013196649432245522e+01,9.053565701853278824e+01,6.013196649432245522e+01,5.838891552508812310e+00
8.728731806327596132e+01,8.469676546602397593e+01,8.728731806327596132e+01,1.187047261392876862e+00
1.853796090604363371e+02,8.350971820463109907e+01,1.331254156479623134e+02,8.560296719524444597e+00
8.547737080065422788e+01,1.357639116171051228e+02,8.547737080065422788e+01,2.049145479250807966e+01
4.616944848908599397e+01,1.152724568245970431e+02,1.756287337158232731e+01,3.088590436750223489e+00
1.240785354234276383e+00,1.438790319421007098e+02,1.240785354234276383e+00,2.860657511750366666e+01
5.014732855117935628e+01,1.121838663878468196e+02,5.014732855117935628e+01,1.642191066812415556e+01
8.526866396356120958e+01,9.576195571972266407e+01,6.121892774111819335e+01,6.863866068715367419e+00
8.713625140843305417e+00,1.198116919421656803e+02,8.713625140843305417e+00,2.404973622244301623e+01
1.416251937749316880e+02,8.889808965100729665e+01,1.364964831731879258e+02,3.547232686923393885e-01
4.999315496082311938e+01,9.402680025275105891e+01,4.999315496082311938e+01,5.128710601743762254e+00
9.784278259705209280e+01,8.854336638231495726e+01,8.498663040146166736e+01,4.932661464718762545e+00
6.919814025948653580e+00,1.013995185779053827e+02,6.919814025948653580e+00,1.285615219559042544e+01
1.550265745594339819e+02,8.361070491759619472e+01,1.465983056141388943e+02,1.009867129650956485e-01
1.120630217721316626e+02,9.203897386289128235e+01,4.475990885968471389e+01,7.634899166983359464e+00
8.667937531081662428e+00,1.593420867753382311e+02,8.667937531081662428e+00,4.458309179143796541e+01
7.346471961510911797e+01,1.147589949839002657e+02,7.346471961510911797e+01,2.272002112100898330e+01
6.868049954666111034e+01,8.440407469590792289e+01,6.868049954666111034e+01,7.933697783117281688e-01
1.215533799125451253e+02,7.494942148510665447e+01,1.780531204036731197e+01,1.584070314073017016e+01
5.946698879879306787e+00,1.786974893572844678e+02,5.946698879879306787e+00,1.037480678721778133e+02
1.826574286073677627e+02,5.910871834437648431e+01,1.164646917101640042e+02,3.897479806335581998e-01
5.970264284310340486e+01,1.253014552415802427e+02,5.970264284310340486e+01,2.538727539478821882e+01
1.094964437065951586e+02,9.991417984679202391e+01,8.743838348314906739e+01,1.202052802643464702e+01
4.538893055048737324e+01,1.219722400702381151e+02,4.538893055048737324e+01,8.248898189189446839e+00
3.594366008358429099e+01,1.137233418810486683e+02,3.594366008358429099e+01,1.358852672901264214e+00
3.308358423322124509e+01,1.123644892081474040e+02,3.308358423322124509e+01,1.245030936135538013e+01
8.349234046026387546e+01,8.789365182035737689e+01,3.622275751720408721e+01,6.364229622372818085e+00
6.388306902069871285e+00,1.351632347634171651e+02,6.388306902069871285e+00,2.800322899851494185e+00
6.038140635368620224e+00,1.323629118635656710e+02,6.038140635368620224e+00,1.008783421634581146e+01
2.716498277214304835e+01,1.222750776472198595e+02,2.716498277214304835e+01,3.438142582686248261e+01
7.648868105513096793e+01,8.152942219798455881e+01,2.297381540703767655e+01,1.086399515516291103e+00
8.072283947948676541e+00,1.350442878460778502e+02,8.072283947948676541e+00,2.212191781349855546e+01
1.800831846657359847e+01,1.129223700325792947e+02,1.800831846657359847e+01,3.139294783459473592e+01
1.270702070362807774e+02,8.044302268246826770e+01,9.860630336808347352e+01,1.980420535700329765e+01
5.149466471138856605e+01,1.089069263506655716e+02,3.670877037185175595e+01,1.322320425735711069e+01
2.891581297466967726e+01,1.236928206902023817e+02,2.891581297466967726e+01,1.478589433953681009e+01
4.896449329873513534e+01,9.568372209330846090e+01,3.026379073914819173e+01,1.189888548407225244e+00
1.000442966873549722e+01,1.143844246528954045e+02,1.000442966873549722e+01,1.870070255958694361e+01
4.224883854673396399e+01,9.449383354490123565e+01,4.224883854673396399e+01,1.405081086243296795e+01
1.504089182421552096e+02,6.063881732546497005e+01,1.147404948591855600e+02,1.530098981088485743e+00
5.320544986101288032e+01,9.630724070843461959e+01,5.320544986101288032e+01,5.950446199539101144e-01
9.011886623162101273e+01,9.571219608848070948e+01,9.011886623162101273e+01,3.507337876301573942e+01
1.632827402442854350e+02,5.871897036374292611e+01,9.617854415933044265e+01,1.382994109382184433e+01
7.653157133583792415e+01,1.258231664486979184e+02,7.653157133583792415e+01,2.445027898930334231e+00
1.657726700684867183e+01,1.233781385497675842e+02,1.657726700684867183e+01,1.709504883616176585e+01
4.791063430031044845e+01,1.062830897136058184e+02,4.534619556226084569e+01,4.478776657996490940e+00
2.019316360682626055e+01,1.088475284516554211e+02,2.019316360682626055e+01,2.564438738049602762e+00
9.525497642415891164e+01,1.018043130556093274e+02,1.352155416496040630e+01,8.635395753092780069e+00
1.615064062443707371e+00,1.835377353148078328e+02,1.615064062443707371e+00,4.371193150454905663e+01
3.822340193816123133e+01,1.398258038102587761e+02,3.822340193816123133e+01,2.369619236521884886e-01
1.132097733492469160e+01,1.395888418866065877e+02,1.132097733492469160e+01,3.778452883099726023e+01
1.220789096055000300e+01,9.316891730251654735e+01,1.220789096055000300e+01,2.047975535702050820e+00
7.762966058005227410e+01,9.112094176681449653e+01,3.867274033650298293e+01,2.638467270393215358e+01
1.752943427100058216e+01,1.300778620103637877e+02,1.752943427100058216e+01,2.113284808445087037e+00
1.362606976182462404e+01,1.279645772019187007e+02,1.362606976182462404e+01,1.628486457350550154e+01
2.692154368088188221e+01,1.116797126284131991e+02,2.692154368088188221e+01,2.055877086159870260e+01
9.009980875464049177e+01,6.473626906288234295e+01,9.009980875464049177e+01,6.017298699139416840e+00
1.276275259285351353e+02,4.488902926992108178e+01,1.276275259285351353e+02,3.116146639632552251e+01
2.080759036963771109e+02,7.834270007763848298e+00,1.489877485857290935e+02,7.834270007763848298e+00
1.004428877070509998e+02,6.692242511841186570e+01,1.004428877070509998e+02,2.004030063398477068e+01
1.624136427113080856e+02,4.688212448442709501e+01,1.305055325817547498e+02,3.904785447666324671e+01
7.184901454783391728e+01,7.879023461398043082e+01,7.184901454783391728e+01,3.190811012955333581e+01
